Nom,type,Cout adopté
Adapter Fan,Composant accessoire,"1 700,00"
Panel Fan,Composant accessoire,"6 500,00"
Powerhub 10m of DC cable,Composant accessoire,"6 500,00"
Powerhub AC input cable,Composant accessoire,"6 500,00"
Powerhub Panel 340W,Composant accessoire,"140 000,00"
WowSolar Batterie GM 80W,Composant accessoire,"35 000,00"
WowSolar Extension cable,Composant accessoire,"650,00"
WowSolar Lamp 140lm,Composant accessoire,"3 000,00"
WowSolar Lamp 400lm,Composant accessoire,"3 200,00"
WowSolar Panel 10W,Composant accessoire,"5 500,00"
WowSolar Panel 40W,Composant accessoire,"32 000,00"
WowSolar Remote control,Composant accessoire,"4 000,00"
WowSolar TV Screen 19,Composant accessoire,"35 000,00"
WowSolar TV Screen 22,Composant accessoire,"45 000,00"
WowSolar TV Screen 32,Composant accessoire,"65 000,00"
WowSolar USB charger,Composant accessoire,"900,00"
WowSolar Wall mount,Composant accessoire,"400,00"
WowSolar Panel 6W,Composant accessoire,"5 000,00"
Satellite Dish incl. support,Composant accessoire,"3 500,00"
LNB Head incl. support,Composant accessoire,"300,00"
Satellite Cable 12m incl. connectors,Composant accessoire,"1 500,00"
SKH PV Panel,Composant accessoire,"6 800,00"
SKH Lamp,Composant accessoire,"3 800,00"
SKH USB cable,Composant accessoire,"1 000,00"
SKH Extension cable,Composant accessoire,"700,00"
SKH Wall mount,Composant accessoire,"500,00"
D100 Controller,Composant accessoire,"17 000,00"
D100 Panel,Composant accessoire,"7 700,00"
D100 Lamp 220lm,Composant accessoire,"2 700,00"
D100 Lamp 120lm,Composant accessoire,"2 700,00"
D100 Extension cable,Composant accessoire,"850,00"
D100 Multifunction charger,Composant accessoire,"1 250,00"
Hairclipper USB Cable,Composant accessoire,"1 300,00"
Oolu Panel 40W,Composant accessoire,"35 000,00"
Oolu Lamp 160lm,Composant accessoire,"2 900,00"
Oolu Remote control,Composant accessoire,"1 600,00"
Oolu USB charger,Composant accessoire,"900,00"
Oolu Extension cable,Composant accessoire,"650,00"
Fan Lithium Battery,Composant accessoire,"3 600,00"
Radio Component WS,Composant accessoire,"3 500,00"
Fan Lead Acid Battery,Composant accessoire,"1 700,00"
Panel Fan ,Composant accessoire,"6 500,00"
WowSolar TV Screen 19 ,Composant accessoire,"35 000,00"