Nom,type,Cout adopté
Adapter Fan,Composant accessoire,1700
Panel Fan,Composant accessoire,6500
Powerhub 10m of DC cable,Composant accessoire,6500
Powerhub AC input cable,Composant accessoire,6500
Powerhub Panel 340W,Composant accessoire,140000
WowSolar Batterie GM 80W,Composant accessoire,35000
WowSolar Extension cable,Composant accessoire,650
WowSolar Lamp 140lm,Composant accessoire,3000
WowSolar Lamp 400lm,Composant accessoire,3200
WowSolar Panel 10W,Composant accessoire,5500
WowSolar Panel 40W,Composant accessoire,32000
WowSolar Remote control,Composant accessoire,4000
WowSolar TV Screen 19,Composant accessoire,35000
WowSolar TV Screen 22,Composant accessoire,45000
WowSolar TV Screen 32,Composant accessoire,65000
WowSolar USB charger,Composant accessoire,900
WowSolar Wall mount,Composant accessoire,400
WowSolar Panel 6W,Composant accessoire,5000
Satellite Dish incl. support,Composant accessoire,3500
LNB Head incl. support,Composant accessoire,300
Satellite Cable 12m incl. connectors,Composant accessoire,1500
SKH PV Panel,Composant accessoire,6800
SKH Lamp,Composant accessoire,3800
SKH USB cable,Composant accessoire,1000
SKH Extension cable,Composant accessoire,700
SKH Wall mount,Composant accessoire,500
D100 Controller,Composant accessoire,17000
D100 Panel,Composant accessoire,7700
D100 Lamp 220lm,Composant accessoire,2700
D100 Lamp 120lm,Composant accessoire,2700
D100 Extension cable,Composant accessoire,850
D100 Multifunction charger,Composant accessoire,1250
Hairclipper USB Cable,Composant accessoire,1300
Oolu Panel 40W,Composant accessoire,35000
Oolu Panel 50W,Composant accessoire,50000
Oolu Lamp 160lm,Composant accessoire,2900
Oolu Remote control,Composant accessoire,1600
Oolu USB charger,Composant accessoire,900
Oolu Extension cable,Composant accessoire,650
Fan Lithium Battery,Composant accessoire,3600
Radio Component WS,Composant accessoire,3500
Fan Lead Acid Battery,Composant accessoire,1700
Panel Fan ,Composant accessoire,6500
WowSolar TV Screen 19 ,Composant accessoire,35000